timestamp,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
224437,42021,49050,50193,46448
224537,43668,48345,49765,48120
224637,44662,46885,47797,48334
224737,45337,50347,50554,47265
224837,45033,44980,49599,50001
224937,42458,47535,52522,46939
225037,43100,46008,54165,49622
225137,44559,44801,50844,46734
225237,46127,44231,47362,44429
225337,45736,43457,45835,43219
225437,46047,43090,44855,42936
225537,47486,44587,47093,45270
225637,46682,44401,47217,44440
225737,45506,44755,49587,45266
225837,46914,44557,47134,44295
225937,47805,45694,48616,45925
226037,46680,44922,47684,44659
226137,48152,45252,46856,45017
226237,46832,43495,46242,44819
226337,49222,46486,48265,46217
226437,46235,45740,49748,44774
226537,49402,43751,45984,45979
226637,49097,46561,50456,47101
226737,54213,51736,55238,52749
226837,47891,39366,43735,45850
226937,45415,43769,45108,40778
227037,46286,17654,36420,49913
227137,43013,48475,47078,31190
227257,48914,47657,50146,45566
227337,49145,44864,49599,48281
227437,49450,49816,51972,45768
227537,48963,47420,49348,45585
227637,48166,45375,48089,45388
227737,48273,44498,45517,44852
227837,46245,45941,50213,46564
227937,50316,44814,46528,47975
228037,48780,44587,49551,47762
228137,49680,46713,51087,48469
228237,47130,42895,46908,44543
228337,46223,43698,46567,43533
228437,48480,43840,48532,47864
228537,48750,44932,48284,47006
228637,47441,44565,47069,44929
228737,46749,43162,45750,43613
228837,45923,41964,46670,45130
228937,48250,40817,47258,48726
229037,48473,45618,50517,48253
229137,49375,47612,49650,47462
229237,49398,45177,48724,48195
229337,47581,43562,47365,46154
229437,45954,43903,48015,44443
229537,48134,43057,47396,46241
229637,48396,44693,49614,47081
229737,49682,45541,49025,46856
229837,47211,44505,48893,45307
229937,48364,44553,49845,47336
230037,47214,45352,49802,45421
230137,48893,46003,49684,46654
230237,49302,45665,48276,46019
230337,46683,45520,49641,44811
230440,47627,42595,46054,45144
230540,46391,42575,46155,43818
230639,43129,41581,46877,42706
230737,45137,39530,44801,41164
230837,41087,39855,45429,40326
230937,44336,38731,43333,41538
231037,44124,41300,44261,43022
231137,46307,41941,47964,44700
231238,55137,47206,51476,54741
231338,52708,51204,53676,51869
231438,0,0,0,0
231538,0,0,0,0
231637,0,0,0,0
231737,0,0,0,0
231837,0,0,0,0
231937,0,0,0,0
232037,0,0,0,0
232137,0,0,0,0
232237,0,0,0,0
232337,0,0,0,0
