timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz
231179,-49,-3,338,-200,-63,-706
231279,-49,17,231,-134,10,-824
231379,-48,14,163,-6,4,-629
231479,-45,16,101,23,62,-732
231579,-41,18,5,-63,45,-1259
231679,-37,27,3,-4,152,-366
231779,-45,23,-9,-85,15,-179
231879,-37,25,-1,-39,-40,-3
231979,-36,25,0,-7,-10,7
232079,-36,25,0,8,-17,5
232179,-36,25,0,15,-1,2
232279,-36,25,-1,7,3,0
232379,-36,25,0,20,18,3
