timestamp,lighthouse.width3,lighthouse.comSync,lighthouse.bsReceive,lighthouse.bsActive,lighthouse.bsCalUd,lighthouse.bsCalCon,lighthouse.status,lighthouse.posRt,lighthouse.estBs0Rt,lighthouse.estBs1Rt
161142,251,1,3,3,0,3,2,603.6363525390625,239.99998474121094,373.33331298828125
161242,247,1,3,3,0,3,2,603.6363525390625,239.99998474121094,373.33331298828125
161342,246,1,3,3,0,3,2,603.6363525390625,239.99998474121094,373.33331298828125
161442,240,1,3,3,0,3,2,683.6363525390625,399.9999694824219,346.6666564941406
161542,238,1,3,3,0,3,2,683.6363525390625,399.9999694824219,346.6666564941406
161642,242,1,3,3,0,3,2,683.6363525390625,399.9999694824219,346.6666564941406
161742,243,1,3,3,0,3,2,683.6363525390625,399.9999694824219,346.6666564941406
161842,251,1,3,3,0,3,2,683.6363525390625,399.9999694824219,346.6666564941406
161942,250,1,3,3,0,3,2,683.6363525390625,399.9999694824219,346.6666564941406
162042,244,1,3,3,0,3,2,683.6363525390625,226.66665649414062,266.6666564941406
162142,238,1,3,3,0,3,2,683.6363525390625,226.66665649414062,266.6666564941406
162242,237,1,3,3,0,3,2,683.6363525390625,226.66665649414062,266.6666564941406
162342,235,1,3,3,0,3,2,683.6363525390625,226.66665649414062,266.6666564941406
162442,237,1,3,3,0,3,2,683.6363525390625,226.66665649414062,266.6666564941406
162542,400,1,3,3,0,3,2,465.45452880859375,226.66665649414062,266.6666564941406
162642,395,1,3,3,0,3,2,465.45452880859375,239.99998474121094,173.3333282470703
162742,371,1,2,2,0,3,2,465.45452880859375,239.99998474121094,173.3333282470703
162842,363,1,2,2,0,3,2,465.45452880859375,239.99998474121094,173.3333282470703
162942,359,1,3,3,0,3,2,465.45452880859375,239.99998474121094,173.3333282470703
163042,334,1,3,3,0,3,2,465.45452880859375,239.99998474121094,173.3333282470703
163142,330,1,3,3,0,3,2,465.45452880859375,239.99998474121094,173.3333282470703
163242,372,1,3,3,0,3,2,465.45452880859375,293.33331298828125,373.33331298828125
163342,362,1,3,3,0,3,2,465.45452880859375,293.33331298828125,373.33331298828125
163442,329,1,3,3,0,3,2,465.45452880859375,293.33331298828125,373.33331298828125
163545,246,1,3,3,0,3,2,662.013916015625,293.33331298828125,373.33331298828125
163645,245,1,3,3,0,3,2,662.013916015625,293.33331298828125,373.33331298828125
163744,247,1,3,3,0,3,2,662.013916015625,398.4064025878906,366.53387451171875
163844,245,1,3,3,0,3,2,662.013916015625,398.4064025878906,366.53387451171875
163944,245,1,3,3,0,3,2,662.013916015625,398.4064025878906,366.53387451171875
164042,247,1,3,3,0,3,2,662.013916015625,398.4064025878906,366.53387451171875
164142,246,1,3,3,0,3,2,662.013916015625,398.4064025878906,366.53387451171875
164242,246,1,3,3,0,3,2,662.013916015625,398.4064025878906,366.53387451171875
164343,246,1,3,3,0,3,2,662.013916015625,213.68948364257812,227.0450897216797
164443,245,1,3,3,0,3,2,662.013916015625,213.68948364257812,227.0450897216797
164543,246,1,3,3,0,3,2,662.013916015625,213.68948364257812,227.0450897216797
164643,245,1,3,3,0,3,2,575.5919799804688,213.68948364257812,227.0450897216797
164742,246,1,3,3,0,3,2,575.5919799804688,213.68948364257812,227.0450897216797
164842,245,1,3,3,0,3,2,575.5919799804688,213.68948364257812,227.0450897216797
164942,245,1,3,3,0,3,2,575.5919799804688,400.66778564453125,320.53424072265625
165042,245,1,3,3,0,3,2,575.5919799804688,400.66778564453125,320.53424072265625
165142,246,1,3,3,0,3,2,575.5919799804688,400.66778564453125,320.53424072265625
165242,248,1,3,3,0,3,2,575.5919799804688,400.66778564453125,320.53424072265625
165342,246,1,3,3,0,3,2,575.5919799804688,400.66778564453125,320.53424072265625
165442,226,1,3,3,0,3,2,575.5919799804688,400.66778564453125,320.53424072265625
165542,224,1,3,3,0,3,2,575.5919799804688,399.9999694824219,346.6666564941406
165642,225,1,3,3,0,3,2,575.5919799804688,399.9999694824219,346.6666564941406
165742,225,1,3,3,0,3,2,735.2138671875,399.9999694824219,346.6666564941406
165842,225,1,3,3,0,3,2,735.2138671875,399.9999694824219,346.6666564941406
165942,225,1,3,3,0,3,2,735.2138671875,399.9999694824219,346.6666564941406
166042,225,1,3,3,0,3,2,735.2138671875,399.9999694824219,346.6666564941406
166142,225,1,3,3,0,3,2,735.2138671875,399.9999694824219,306.6666564941406
166242,226,1,3,3,0,3,2,735.2138671875,399.9999694824219,306.6666564941406
166342,225,1,3,3,0,3,2,735.2138671875,399.9999694824219,306.6666564941406
166442,227,1,3,3,0,3,2,735.2138671875,399.9999694824219,306.6666564941406
166542,225,1,3,3,0,3,2,735.2138671875,399.9999694824219,306.6666564941406
166642,226,1,3,3,0,3,2,735.2138671875,399.9999694824219,306.6666564941406
166742,227,1,3,3,0,3,2,735.2138671875,399.9999694824219,333.33331298828125
166842,225,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
166942,227,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
167042,227,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
167142,224,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
167242,226,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
167342,227,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
167442,229,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
167542,228,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
167642,226,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
167742,225,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
167842,225,1,3,3,0,3,2,727.272705078125,399.9999694824219,333.33331298828125
167942,227,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
168042,225,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
168142,227,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
168242,224,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
168342,230,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
168442,230,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
168542,228,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
168642,228,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
168742,229,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
168842,234,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
168942,225,1,3,3,0,3,2,749.0908813476562,399.9999694824219,373.33331298828125
169042,227,1,3,3,0,3,2,756.3636474609375,399.9999694824219,373.33331298828125
169142,230,1,3,3,0,3,2,756.3636474609375,360.0,386.6666564941406
169242,227,1,3,3,0,3,2,756.3636474609375,360.0,386.6666564941406
169342,233,1,3,3,0,3,2,756.3636474609375,360.0,386.6666564941406
169442,238,1,3,3,0,3,2,756.3636474609375,360.0,386.6666564941406
169542,233,1,3,3,0,3,2,756.3636474609375,360.0,386.6666564941406
169642,230,1,3,3,0,3,2,756.3636474609375,360.0,386.6666564941406
169742,239,1,3,3,0,3,2,756.3636474609375,253.3333282470703,253.3333282470703
169842,239,1,3,3,0,3,2,756.3636474609375,253.3333282470703,253.3333282470703
169942,236,1,3,3,0,3,2,756.3636474609375,253.3333282470703,253.3333282470703
170042,235,1,3,3,0,3,2,756.3636474609375,253.3333282470703,253.3333282470703
170142,230,1,3,3,0,3,2,640.0,253.3333282470703,253.3333282470703
170242,236,1,3,3,0,3,2,640.0,253.3333282470703,253.3333282470703
170342,231,1,3,3,0,3,2,640.0,399.9999694824219,386.6666564941406
170442,231,1,3,3,0,3,2,640.0,399.9999694824219,386.6666564941406
170542,236,1,3,3,0,3,2,640.0,399.9999694824219,386.6666564941406
170642,240,1,3,3,0,3,2,640.0,399.9999694824219,386.6666564941406
170742,235,1,3,3,0,3,2,640.0,399.9999694824219,386.6666564941406
170842,240,1,3,3,0,3,2,640.0,399.9999694824219,386.6666564941406
170942,239,1,3,3,0,3,2,640.0,399.9999694824219,346.6666564941406
171042,235,1,3,3,0,3,2,640.0,399.9999694824219,346.6666564941406
171142,241,1,3,3,0,3,2,640.0,399.9999694824219,346.6666564941406
171242,244,1,1,1,0,3,2,640.0,399.9999694824219,346.6666564941406
171345,459,1,1,1,0,3,2,640.0,399.9999694824219,346.6666564941406
171445,463,1,3,3,0,3,2,640.0,222.66400146484375,222.66400146484375
171544,278,1,3,3,0,3,2,640.0,222.66400146484375,222.66400146484375
171644,446,1,3,3,0,3,2,640.0,222.66400146484375,222.66400146484375
171745,433,1,3,3,0,3,2,640.0,222.66400146484375,222.66400146484375
171844,418,1,3,3,0,3,2,640.0,222.66400146484375,222.66400146484375
171945,414,1,3,3,0,3,2,640.0,222.66400146484375,222.66400146484375
172045,409,1,3,3,0,3,2,640.0,239.99998474121094,280.0
172142,319,1,3,3,0,3,2,640.0,239.99998474121094,280.0
172244,389,1,3,3,0,3,2,510.9780578613281,239.99998474121094,280.0
172342,339,1,3,3,0,3,2,510.9780578613281,239.99998474121094,280.0
172444,364,1,3,3,0,3,2,510.9780578613281,239.99998474121094,280.0
172544,356,1,3,3,0,3,2,510.9780578613281,239.99998474121094,280.0
172643,359,1,3,3,0,3,2,510.9780578613281,267.55853271484375,387.9598693847656
172744,338,1,3,3,0,3,2,510.9780578613281,267.55853271484375,387.9598693847656
172843,364,1,3,3,0,3,2,510.9780578613281,267.55853271484375,387.9598693847656
172943,379,1,3,3,0,3,2,510.9780578613281,267.55853271484375,387.9598693847656
173043,388,1,3,3,0,3,2,510.9780578613281,267.55853271484375,387.9598693847656
173142,402,1,3,3,0,3,2,510.9780578613281,267.55853271484375,387.9598693847656
173243,401,1,3,3,0,3,2,510.9780578613281,360.0,373.33331298828125
173342,407,1,3,3,0,3,2,721.3114624023438,360.0,373.33331298828125
173442,428,1,1,1,0,3,2,721.3114624023438,360.0,373.33331298828125
173542,420,1,1,1,0,3,2,721.3114624023438,360.0,373.33331298828125
173642,424,1,2,2,0,3,2,721.3114624023438,360.0,373.33331298828125
173742,431,1,2,2,0,3,2,721.3114624023438,360.0,373.33331298828125
173842,436,1,3,3,0,3,2,721.3114624023438,173.62271118164062,227.0450897216797
173942,452,1,3,3,0,3,2,721.3114624023438,173.62271118164062,227.0450897216797
174042,488,1,3,3,0,3,2,721.3114624023438,173.62271118164062,227.0450897216797
174142,484,1,3,3,0,3,2,721.3114624023438,173.62271118164062,227.0450897216797
174242,489,1,1,1,0,3,2,721.3114624023438,173.62271118164062,227.0450897216797
174342,495,1,1,1,0,3,2,721.3114624023438,173.62271118164062,227.0450897216797
174442,492,1,3,3,0,3,2,421.81817626953125,399.9999694824219,40.0
174542,498,1,3,3,0,3,2,421.81817626953125,399.9999694824219,40.0
174642,501,1,3,3,0,3,2,421.81817626953125,399.9999694824219,40.0
174742,511,1,3,3,0,3,2,421.81817626953125,399.9999694824219,40.0
174842,499,1,3,3,0,3,2,421.81817626953125,399.9999694824219,40.0
174942,521,1,3,3,0,3,2,421.81817626953125,399.9999694824219,40.0
175042,505,1,3,3,0,3,2,421.81817626953125,386.6666564941406,293.33331298828125
175142,492,1,3,3,0,3,2,421.81817626953125,386.6666564941406,293.33331298828125
175245,244,1,3,3,0,3,2,421.81817626953125,386.6666564941406,293.33331298828125
175345,242,1,3,3,0,3,2,421.81817626953125,386.6666564941406,293.33331298828125
175445,241,1,3,3,0,3,2,717.846435546875,386.6666564941406,293.33331298828125
175545,236,1,3,3,0,3,2,717.846435546875,365.8051452636719,413.51885986328125
175645,231,1,3,3,0,3,2,717.846435546875,365.8051452636719,413.51885986328125
175742,422,1,3,3,0,3,2,717.846435546875,365.8051452636719,413.51885986328125
175842,408,1,3,3,0,3,2,717.846435546875,365.8051452636719,413.51885986328125
175945,214,1,3,3,0,3,2,717.846435546875,365.8051452636719,413.51885986328125
176042,402,1,3,3,0,3,2,717.846435546875,365.8051452636719,413.51885986328125
176142,406,1,3,3,0,3,2,717.846435546875,375.2093811035156,268.0067138671875
176242,407,1,3,3,0,3,2,717.846435546875,375.2093811035156,268.0067138671875
176342,408,1,1,1,0,3,2,717.846435546875,375.2093811035156,268.0067138671875
176442,407,1,1,1,0,3,2,717.846435546875,375.2093811035156,268.0067138671875
176542,406,1,1,1,0,3,2,568.8240356445312,375.2093811035156,268.0067138671875
