timestamp,posCtl.targetVX,posCtl.targetVY,posCtl.targetVZ,posCtl.targetX,posCtl.targetY,posCtl.targetZ
214990,0.6687873601913452,-0.029228881001472473,0.030041135847568512,0.9769700169563293,-0.002323889872059226,0.49094149470329285
215090,0.6476106643676758,-0.018675372004508972,0.022247016429901123,1.036871314048767,-0.0016874801367521286,0.4917733073234558
215190,0.6207708120346069,-0.005659880116581917,0.019109562039375305,1.0941925048828125,-0.0018402051646262407,0.49261903762817383
215290,0.5815250873565674,0.014048994518816471,0.002312295138835907,1.1484622955322266,-0.0037598884664475918,0.4934631586074829
215390,0.5506242513656616,0.025297680869698524,0.003533370792865753,1.199253797531128,-0.008373481221497059,0.49429091811180115
215490,0.5148791074752808,0.04885323345661163,0.010395906865596771,1.2462332248687744,-0.013133052736520767,0.4950889050960541
215590,0.4812886714935303,0.06351842731237411,0.013307742774486542,1.2891461849212646,-0.015534911304712296,0.4958447515964508
215690,0.45043087005615234,0.07129767537117004,0.018845073878765106,1.3277970552444458,-0.017361948266625404,0.49654820561408997
215790,0.42320942878723145,0.06867390871047974,0.028887145221233368,1.362076759338379,-0.01888795755803585,0.4971908628940582
215890,0.3682734966278076,0.06332598626613617,0.024902209639549255,1.3919819593429565,-0.018500806763768196,0.497766375541687
215990,0.309084415435791,0.045622289180755615,0.030910730361938477,1.4175461530685425,-0.018837183713912964,0.49827075004577637
216090,0.3076140880584717,0.04862651601433754,-0.006924495100975037,1.438934087753296,-0.01829892210662365,0.49870210886001587
216190,0.2789158821105957,0.039453040808439255,-0.02302446961402893,1.4563653469085693,-0.01778505928814411,0.4990609586238861
216290,0.24163532257080078,0.028855491429567337,-0.017901279032230377,1.470165729522705,-0.015126200392842293,0.49935001134872437
216390,0.20038509368896484,0.020446904003620148,-0.011889509856700897,1.4806857109069824,-0.010849880054593086,0.4995739758014679
216490,0.16407370567321777,0.00982603058218956,0.0024981945753097534,1.4883249998092651,-0.008608520962297916,0.49973952770233154
