timestamp,pid_rate.yaw_outP,pid_rate.yaw_outI,pid_rate.yaw_outD
223586,-235.58763122558594,-19.47095489501953,0.0
223686,-105.16348266601562,-19.966386795043945,0.0
223785,-212.6298370361328,-20.455503463745117,-0.0
223885,-187.81329345703125,-23.656465530395508,-0.0
223985,419.71600341796875,-20.889577865600586,-0.0
224085,496.6372985839844,-7.167825222015381,-0.0
224185,1122.630615234375,0.48005911707878113,0.0
224285,-41.834678649902344,-0.5119901299476624,-0.0
224386,-741.365234375,-9.06069278717041,-0.0
224486,-1210.987060546875,-15.441038131713867,-0.0
224585,-246.26707458496094,-20.85502815246582,0.0
224686,-277.3045349121094,-27.265382766723633,0.0
224786,-338.4312438964844,-33.383758544921875,-0.0
224886,-460.7287902832031,-39.97041320800781,0.0
224986,-381.7766418457031,-46.092491149902344,-0.0
225085,-407.3917236328125,-53.21902847290039,-0.0
225186,-538.6167602539062,-61.66327667236328,0.0
225286,-568.152099609375,-69.79359436035156,-0.0
225385,-840.4296264648438,-80.42301940917969,0.0
225485,-807.0662231445312,-92.7940673828125,0.0
225585,-1336.3134765625,-104.34912872314453,-0.0
225685,-889.7385864257812,-114.75635528564453,0.0
225785,-1149.020751953125,-126.50114440917969,-0.0
225885,-993.9678955078125,-144.46527099609375,0.0
225985,-1449.8480224609375,-157.21292114257812,-0.0
226085,-999.6419677734375,-169.9036102294922,0.0
226185,-842.4005126953125,-182.32261657714844,-0.0
226285,-813.933349609375,-193.6297607421875,0.0
226385,-792.190673828125,-204.1775665283203,0.0
226485,-1244.6326904296875,-213.02569580078125,-0.0
226585,709.5401611328125,-218.35252380371094,0.0
226685,-1056.903564453125,-228.08273315429688,-0.0
226785,-435.65234375,-239.170654296875,0.0
226885,-655.4595947265625,-246.58009338378906,-0.0
226985,-522.56640625,-254.57542419433594,0.0
227085,-278.7441711425781,-260.3167724609375,0.0
227185,-337.8927001953125,-264.8729553222656,0.0
227285,-215.55821228027344,-267.2918701171875,-0.0
227385,-203.52511596679688,-269.28619384765625,-0.0
227485,-297.5567932128906,-272.56512451171875,0.0
227585,-429.1253967285156,-278.0443420410156,-0.0
227685,-442.5484924316406,-284.8367614746094,0.0
227785,-316.745361328125,-290.0799255371094,0.0
227885,-68.3542709350586,-291.4551696777344,0.0
227985,169.405517578125,-290.7653503417969,0.0
228085,61.87159729003906,-287.5892639160156,-0.0
228187,-89.50159454345703,-287.1252746582031,-0.0
228287,-207.91639709472656,-288.8899230957031,0.0
228387,-152.73709106445312,-290.72882080078125,-0.0
228487,-96.53359985351562,-292.9401550292969,-0.0
228585,-299.5595397949219,-294.9978942871094,-0.0
228685,-328.00018310546875,-301.3041076660156,0.0
228785,-375.8866271972656,-307.4410095214844,0.0
228885,-441.1291809082031,-312.40118408203125,-0.0
228985,-482.82708740234375,-320.3794250488281,0.0
229085,-591.4669189453125,-328.7382507324219,-0.0
229185,-595.2957763671875,-337.7208557128906,0.0
229285,-491.8583068847656,-344.88238525390625,0.0
229385,-527.9929809570312,-350.9787292480469,-0.0
229485,-537.380615234375,-357.0311279296875,0.0
229585,-607.7548217773438,-365.2169189453125,-0.0
229685,-611.8123168945312,-374.18487548828125,0.0
229785,-630.02490234375,-382.1559753417969,0.0
229885,-496.74700927734375,-390.2612609863281,0.0
229985,-729.0238647460938,-397.8251953125,-0.0
230085,-556.1212768554688,-405.4138488769531,-0.0
230185,-277.9451904296875,-410.462890625,0.0
230285,-159.4834747314453,-414.2516174316406,-0.0
230385,-244.98239135742188,-416.919189453125,-0.0
230485,-392.21826171875,-420.8968811035156,-0.0
230585,-482.3016357421875,-426.07073974609375,0.0
230685,-496.92279052734375,-432.7541809082031,0.0
230785,-767.1488037109375,-443.9798889160156,0.0
230885,-9713.1943359375,-2.7035059928894043,-0.0
230985,-5330.80712890625,-1.4837414026260376,-0.0
231085,-29526.12109375,-8.218104362487793,-0.0
231185,-62601.98828125,-17.424222946166992,-0.0
231286,206640.90625,57.51505661010742,0.0
231385,206663.28125,57.52128601074219,0.0
231485,208283.09375,57.97213363647461,0.0
231585,206493.15625,57.473934173583984,0.0
231685,206833.015625,57.56853103637695,0.0
231785,206071.890625,57.35668182373047,0.0
