timestamp,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,ctrltargetZ.vx,ctrltargetZ.vy,ctrltargetZ.vz
1992243,1262,59,495,-482,-22,-1
1992343,1212,57,495,-522,-24,0
1992445,1159,55,495,-559,-26,0
1992545,1102,52,495,-591,-28,0
1992645,1042,49,495,-619,-29,0
1992744,979,46,495,-641,-30,0
1992845,915,43,495,-658,-31,1
1992943,849,40,495,-669,-31,1
1993043,783,37,495,-673,-31,2
1993143,716,34,496,-671,-31,2
1993244,650,30,496,-663,-31,2
1993344,585,27,496,-649,-30,2
1993444,522,24,496,-629,-29,2
1993544,461,21,497,-603,-28,2
1993644,403,19,497,-572,-27,2
1993743,348,16,497,-537,-25,2
1993843,297,14,498,-499,-23,2
1993943,249,11,498,-457,-21,2
1994043,206,9,498,-413,-19,2
1994143,168,7,498,-368,-17,2
1994244,134,6,499,-322,-15,2
1994344,104,4,499,-277,-13,1
1994444,79,3,499,-233,-11,1
1994543,58,2,499,-191,-9,1
1994643,41,1,499,-152,-7,1
1994743,27,1,499,-117,-5,0
1994843,17,0,499,-86,-4,0
1994943,10,0,499,-60,-2,0
1995043,5,0,499,-39,-1,0
1995143,2,0,499,-22,-1,0
1995243,1,0,499,-11,0,0
1995343,0,0,499,-4,0,0
1995443,0,0,499,-1,0,0
1995543,0,0,500,0,0,0
1995643,0,0,498,0,0,-51
1995743,0,0,483,0,0,-285
1995843,0,0,437,0,0,-642
1995943,0,0,357,0,0,-961
1996043,0,0,254,0,0,-1093
1996143,0,0,149,0,0,-979
1996243,0,0,67,0,0,-670
1996343,0,0,18,0,0,-310
1996443,0,0,1,0,0,-63
1996543,0,0,0,0,0,0
1996643,0,0,0,0,0,0
1996743,0,0,0,0,0,0
1996843,0,0,0,0,0,0
1996943,0,0,0,0,0,0
1997043,0,0,0,0,0,0
1997143,0,0,0,0,0,0
1997243,0,0,0,0,0,0
1997343,0,0,0,0,0,0
1997443,0,0,0,0,0,0
1997543,0,0,0,0,0,0
