timestamp,controller.accelz,controller.actuatorThrust,controller.cmd_pitch,controller.cmd_roll,controller.cmd_thrust,controller.cmd_yaw
1992616,0.9909632205963135,41894.85546875,-2621.0,-1822.0,41894.85546875,3565.0
1992717,1.034131646156311,43674.55078125,253.0,2206.0,43674.55078125,3330.0
1992817,1.0714123249053955,43323.6953125,975.0,2044.0,43323.6953125,3407.0
1992917,1.0473816394805908,41650.7265625,233.0,-1435.0,41650.7265625,3991.0
1993017,1.076859474182129,44888.1640625,2568.0,811.0,44888.1640625,4146.0
1993117,1.1013678312301636,43208.109375,1121.0,1007.0,43208.109375,4425.0
1993217,1.0502204895019531,40725.3203125,1047.0,-769.0,40725.3203125,4335.0
1993317,0.9242037534713745,33873.08203125,7577.0,4589.0,33873.08203125,4246.0
1993417,0.8786678314208984,37559.015625,-175.0,-1165.0,37559.015625,3964.0
1993517,0.9652276635169983,40414.58203125,1631.0,754.0,40414.58203125,3891.0
1993618,1.0137993097305298,41352.2890625,3439.0,1678.0,41352.2890625,3305.0
1993717,1.0230472087860107,41707.48046875,1957.0,485.0,41707.48046875,3945.0
1993817,1.0246654748916626,40737.08984375,1908.0,-3829.0,40737.08984375,4218.0
1993916,0.9978144764900208,40112.8671875,1300.0,1824.0,40112.8671875,4057.0
1994016,0.9759451746940613,39516.79296875,1514.0,360.0,39516.79296875,3929.0
1994116,0.96294766664505,40328.9765625,450.0,1091.0,40328.9765625,3908.0
1994216,1.0328302383422852,43980.05859375,-3156.0,-7311.0,43980.05859375,3937.0
1994316,1.0479142665863037,40966.28125,4128.0,349.0,40966.28125,3984.0
1994416,0.9847190976142883,37931.421875,1352.0,761.0,37931.421875,3891.0
1994516,0.9517877697944641,38463.05859375,114.0,-1351.0,38463.05859375,3564.0
1994616,0.9601627588272095,40787.70703125,1782.0,-1947.0,40787.70703125,3352.0
1994717,1.0413033962249756,43485.4375,-3731.0,-8317.0,43485.4375,3657.0
1994816,1.1094239950180054,39695.53125,3170.0,1886.0,39695.53125,3982.0
1994916,1.0686619281768799,43356.328125,6063.0,2693.0,43356.328125,3834.0
1995016,1.046189785003662,41360.97265625,613.0,-1335.0,41360.97265625,4104.0
1995116,0.9943774938583374,39810.19140625,-374.0,-2000.0,39810.19140625,3737.0
1995216,0.9578471183776855,39761.78125,839.0,-175.0,39761.78125,3440.0
1995316,0.975426971912384,40851.23828125,388.0,982.0,40851.23828125,3341.0
1995416,1.0092332363128662,40657.171875,-773.0,-81.0,40657.171875,2964.0
1995516,1.0262244939804077,41394.66015625,1152.0,-926.0,41394.66015625,3313.0
1995616,0.9886930584907532,41255.16015625,-2108.0,-674.0,41255.16015625,3518.0
1995716,1.0226421356201172,40291.83203125,-838.0,-556.0,40291.83203125,3237.0
1995816,1.0164597034454346,39084.16015625,-809.0,262.0,39084.16015625,2930.0
1995916,0.8934082388877869,36506.42578125,-237.0,76.0,36506.42578125,3198.0
1996016,0.857100248336792,33243.51171875,-611.0,-361.0,33243.51171875,3334.0
1996116,0.8216193318367004,32199.587890625,1064.0,1519.0,32199.587890625,3566.0
1996216,0.8003173470497131,32851.12109375,1240.0,1141.0,32851.12109375,3309.0
1996316,0.8134792447090149,36118.2578125,-3430.0,335.0,36118.2578125,3357.0
1996416,0.9702785015106201,41196.83203125,466.0,-1663.0,41196.83203125,3918.0
1996516,1.1141589879989624,46427.94140625,2301.0,2246.0,46427.94140625,4593.0
1996618,0.6726419925689697,0.0,0.0,0.0,0.0,0.0
1996716,0.3868093192577362,0.0,0.0,0.0,0.0,0.0
1996817,0.34022456407546997,0.0,0.0,0.0,0.0,0.0
1996917,1.8222112655639648,0.0,0.0,0.0,0.0,0.0
1997017,1.085572361946106,0.0,0.0,0.0,0.0,0.0
1997116,0.9933422207832336,0.0,0.0,0.0,0.0,0.0
1997216,0.9925766587257385,0.0,0.0,0.0,0.0,0.0
1997316,1.0032821893692017,0.0,0.0,0.0,0.0,0.0
1997416,1.011438012123108,0.0,0.0,0.0,0.0,0.0
1997516,0.9930309653282166,0.0,0.0,0.0,0.0,0.0
