timestamp,motor.m1,motor.m2,motor.m3,motor.m4
147700,45051,38017,44565,37191
147800,45269,36291,42691,35845
147900,47096,37384,42702,39774
148000,45119,37423,43739,36195
148100,43721,37843,42929,34515
148200,46087,36637,42225,39835
148300,44151,38617,43087,36405
148400,46127,36971,43831,36759
148500,43318,38148,43452,39522
148600,47288,41414,47776,38978
148700,48522,27664,38492,43074
148800,44166,37046,41176,36484
148900,35392,35822,48992,36298
149000,43001,34705,42911,38727
149100,45872,36218,39278,36716
149200,44790,36994,42094,36974
149300,45792,37222,43526,37284
149400,46231,36047,43739,37783
149500,45576,36222,43342,36836
149600,44578,36748,42748,36954
149700,45782,35752,41046,38708
149800,46601,37069,42387,38163
149900,46406,37244,44770,36148
150000,45243,35453,43819,39633
150100,46401,39173,43427,34763
150200,46235,37141,41813,37415
150300,45954,36984,43206,36224
150400,44361,37799,44999,35349
150500,43365,35905,46809,39041
150600,45055,38349,40955,34725
150700,43506,37150,43082,35526
150800,42656,38218,44808,35670
150900,46944,31100,46880,44832
151000,44464,37226,43690,32680
151100,48198,40534,45628,35904
151200,44556,35122,45388,37078
151300,41365,35581,43911,33199
151400,39655,31691,37925,29709
151500,35776,26848,35952,27928
151600,36086,27402,34634,26658
151700,38201,25149,39981,36241
151800,38352,34226,37936,24498
151900,44034,33404,46242,40172
152000,48971,37265,52999,46781
152100,51949,42431,49605,37539
152200,0,0,0,0
152300,0,0,0,0
152400,0,0,0,0
152500,0,0,0,0
152600,0,0,0,0
152700,0,0,0,0
152800,0,0,0,0
152900,0,0,0,0
153000,0,0,0,0
153100,0,0,0,0
