timestamp,health.motorVarXM1,health.motorVarYM1,health.motorVarXM2,health.motorVarYM2,health.motorVarXM3,health.motorVarYM3
2157536,0.0,0.0,0.0,0.0,0.0,0.0
2157639,0.0,0.0,0.0,0.0,0.0,0.0
2157736,0.0,0.0,0.0,0.0,0.0,0.0
2157838,0.0,0.0,0.0,0.0,0.0,0.0
2157938,0.0,0.0,0.0,0.0,0.0,0.0
2158037,0.0,0.0,0.0,0.0,0.0,0.0
2158136,0.0,0.0,0.0,0.0,0.0,0.0
2158236,0.0,0.0,0.0,0.0,0.0,0.0
2158336,0.0,0.0,0.0,0.0,0.0,0.0
2158436,0.0,0.0,0.0,0.0,0.0,0.0
2158536,0.0,0.0,0.0,0.0,0.0,0.0
2158636,0.0,0.0,0.0,0.0,0.0,0.0
2158736,0.0,0.0,0.0,0.0,0.0,0.0
2158836,0.0,0.0,0.0,0.0,0.0,0.0
2158936,0.0,0.0,0.0,0.0,0.0,0.0
2159036,0.0,0.0,0.0,0.0,0.0,0.0
2159136,0.0,0.0,0.0,0.0,0.0,0.0
2159236,0.0,0.0,0.0,0.0,0.0,0.0
2159336,0.0,0.0,0.0,0.0,0.0,0.0
2159436,0.0,0.0,0.0,0.0,0.0,0.0
2159536,0.0,0.0,0.0,0.0,0.0,0.0
2159636,0.0,0.0,0.0,0.0,0.0,0.0
2159736,0.0,0.0,0.0,0.0,0.0,0.0
2159836,0.0,0.0,0.0,0.0,0.0,0.0
2159936,0.0,0.0,0.0,0.0,0.0,0.0
2160038,0.0,0.0,0.0,0.0,0.0,0.0
2160136,0.0,0.0,0.0,0.0,0.0,0.0
2160238,0.0,0.0,0.0,0.0,0.0,0.0
2160338,0.0,0.0,0.0,0.0,0.0,0.0
2160438,0.0,0.0,0.0,0.0,0.0,0.0
2160537,0.0,0.0,0.0,0.0,0.0,0.0
2160638,0.0,0.0,0.0,0.0,0.0,0.0
2160738,0.0,0.0,0.0,0.0,0.0,0.0
2160836,0.0,0.0,0.0,0.0,0.0,0.0
2160938,0.0,0.0,0.0,0.0,0.0,0.0
2161037,0.0,0.0,0.0,0.0,0.0,0.0
2161137,0.0,0.0,0.0,0.0,0.0,0.0
2161237,0.0,0.0,0.0,0.0,0.0,0.0
2161337,0.0,0.0,0.0,0.0,0.0,0.0
2161438,0.0,0.0,0.0,0.0,0.0,0.0
2161538,0.0,0.0,0.0,0.0,0.0,0.0
2161637,0.0,0.0,0.0,0.0,0.0,0.0
2161737,0.0,0.0,0.0,0.0,0.0,0.0
2161837,0.0,0.0,0.0,0.0,0.0,0.0
2161936,0.0,0.0,0.0,0.0,0.0,0.0
2162036,0.0,0.0,0.0,0.0,0.0,0.0
2162137,0.0,0.0,0.0,0.0,0.0,0.0
2162237,0.0,0.0,0.0,0.0,0.0,0.0
2162337,0.0,0.0,0.0,0.0,0.0,0.0
2162437,0.0,0.0,0.0,0.0,0.0,0.0
2162536,0.0,0.0,0.0,0.0,0.0,0.0
2162636,0.0,0.0,0.0,0.0,0.0,0.0
2162736,0.0,0.0,0.0,0.0,0.0,0.0
2162836,0.0,0.0,0.0,0.0,0.0,0.0
2162936,0.0,0.0,0.0,0.0,0.0,0.0
2163036,0.0,0.0,0.0,0.0,0.0,0.0
2163136,0.0,0.0,0.0,0.0,0.0,0.0
2163236,0.0,0.0,0.0,0.0,0.0,0.0
2163336,0.0,0.0,0.0,0.0,0.0,0.0
2163436,0.0,0.0,0.0,0.0,0.0,0.0
2163536,0.0,0.0,0.0,0.0,0.0,0.0
2163636,0.0,0.0,0.0,0.0,0.0,0.0
2163736,0.0,0.0,0.0,0.0,0.0,0.0
2163836,0.0,0.0,0.0,0.0,0.0,0.0
2163936,0.0,0.0,0.0,0.0,0.0,0.0
2164036,0.0,0.0,0.0,0.0,0.0,0.0
2164136,0.0,0.0,0.0,0.0,0.0,0.0
2164236,0.0,0.0,0.0,0.0,0.0,0.0
2164336,0.0,0.0,0.0,0.0,0.0,0.0
2164436,0.0,0.0,0.0,0.0,0.0,0.0
2164536,0.0,0.0,0.0,0.0,0.0,0.0
2164636,0.0,0.0,0.0,0.0,0.0,0.0
2164736,0.0,0.0,0.0,0.0,0.0,0.0
2164836,0.0,0.0,0.0,0.0,0.0,0.0
2164936,0.0,0.0,0.0,0.0,0.0,0.0
2165036,0.0,0.0,0.0,0.0,0.0,0.0
2165137,0.0,0.0,0.0,0.0,0.0,0.0
2165237,0.0,0.0,0.0,0.0,0.0,0.0
2165336,0.0,0.0,0.0,0.0,0.0,0.0
2165436,0.0,0.0,0.0,0.0,0.0,0.0
2165536,0.0,0.0,0.0,0.0,0.0,0.0
2165636,0.0,0.0,0.0,0.0,0.0,0.0
2165736,0.0,0.0,0.0,0.0,0.0,0.0
2165836,0.0,0.0,0.0,0.0,0.0,0.0
2165936,0.0,0.0,0.0,0.0,0.0,0.0
2166036,0.0,0.0,0.0,0.0,0.0,0.0
2166136,0.0,0.0,0.0,0.0,0.0,0.0
2166236,0.0,0.0,0.0,0.0,0.0,0.0
2166336,0.0,0.0,0.0,0.0,0.0,0.0
2166436,0.0,0.0,0.0,0.0,0.0,0.0
2166536,0.0,0.0,0.0,0.0,0.0,0.0
2166636,0.0,0.0,0.0,0.0,0.0,0.0
2166736,0.0,0.0,0.0,0.0,0.0,0.0
2166836,0.0,0.0,0.0,0.0,0.0,0.0
2166936,0.0,0.0,0.0,0.0,0.0,0.0
2167036,0.0,0.0,0.0,0.0,0.0,0.0
2167136,0.0,0.0,0.0,0.0,0.0,0.0
2167236,0.0,0.0,0.0,0.0,0.0,0.0
2167336,0.0,0.0,0.0,0.0,0.0,0.0
2167436,0.0,0.0,0.0,0.0,0.0,0.0
2167536,0.0,0.0,0.0,0.0,0.0,0.0
2167636,0.0,0.0,0.0,0.0,0.0,0.0
2167736,0.0,0.0,0.0,0.0,0.0,0.0
2167836,0.0,0.0,0.0,0.0,0.0,0.0
2167936,0.0,0.0,0.0,0.0,0.0,0.0
2168036,0.0,0.0,0.0,0.0,0.0,0.0
2168136,0.0,0.0,0.0,0.0,0.0,0.0
2168236,0.0,0.0,0.0,0.0,0.0,0.0
2168336,0.0,0.0,0.0,0.0,0.0,0.0
2168436,0.0,0.0,0.0,0.0,0.0,0.0
2168536,0.0,0.0,0.0,0.0,0.0,0.0
2168636,0.0,0.0,0.0,0.0,0.0,0.0
2168736,0.0,0.0,0.0,0.0,0.0,0.0
2168836,0.0,0.0,0.0,0.0,0.0,0.0
2168937,0.0,0.0,0.0,0.0,0.0,0.0
2169037,0.0,0.0,0.0,0.0,0.0,0.0
2169137,0.0,0.0,0.0,0.0,0.0,0.0
2169237,0.0,0.0,0.0,0.0,0.0,0.0
2169336,0.0,0.0,0.0,0.0,0.0,0.0
2169436,0.0,0.0,0.0,0.0,0.0,0.0
2169536,0.0,0.0,0.0,0.0,0.0,0.0
2169636,0.0,0.0,0.0,0.0,0.0,0.0
2169736,0.0,0.0,0.0,0.0,0.0,0.0
2169836,0.0,0.0,0.0,0.0,0.0,0.0
2169936,0.0,0.0,0.0,0.0,0.0,0.0
2170036,0.0,0.0,0.0,0.0,0.0,0.0
2170136,0.0,0.0,0.0,0.0,0.0,0.0
2170236,0.0,0.0,0.0,0.0,0.0,0.0
2170336,0.0,0.0,0.0,0.0,0.0,0.0
2170436,0.0,0.0,0.0,0.0,0.0,0.0
2170536,0.0,0.0,0.0,0.0,0.0,0.0
2170636,0.0,0.0,0.0,0.0,0.0,0.0
2170736,0.0,0.0,0.0,0.0,0.0,0.0
2170836,0.0,0.0,0.0,0.0,0.0,0.0
2170936,0.0,0.0,0.0,0.0,0.0,0.0
2171036,0.0,0.0,0.0,0.0,0.0,0.0
2171136,0.0,0.0,0.0,0.0,0.0,0.0
2171236,0.0,0.0,0.0,0.0,0.0,0.0
2171336,0.0,0.0,0.0,0.0,0.0,0.0
2171436,0.0,0.0,0.0,0.0,0.0,0.0
2171536,0.0,0.0,0.0,0.0,0.0,0.0
2171636,0.0,0.0,0.0,0.0,0.0,0.0
2171736,0.0,0.0,0.0,0.0,0.0,0.0
2171836,0.0,0.0,0.0,0.0,0.0,0.0
2171936,0.0,0.0,0.0,0.0,0.0,0.0
2172036,0.0,0.0,0.0,0.0,0.0,0.0
2172136,0.0,0.0,0.0,0.0,0.0,0.0
2172236,0.0,0.0,0.0,0.0,0.0,0.0
2172336,0.0,0.0,0.0,0.0,0.0,0.0
2172436,0.0,0.0,0.0,0.0,0.0,0.0
2172536,0.0,0.0,0.0,0.0,0.0,0.0
2172636,0.0,0.0,0.0,0.0,0.0,0.0
2172736,0.0,0.0,0.0,0.0,0.0,0.0
2172836,0.0,0.0,0.0,0.0,0.0,0.0
2172936,0.0,0.0,0.0,0.0,0.0,0.0
2173036,0.0,0.0,0.0,0.0,0.0,0.0
2173136,0.0,0.0,0.0,0.0,0.0,0.0
2173236,0.0,0.0,0.0,0.0,0.0,0.0
2173336,0.0,0.0,0.0,0.0,0.0,0.0
2173436,0.0,0.0,0.0,0.0,0.0,0.0
2173536,0.0,0.0,0.0,0.0,0.0,0.0
2173636,0.0,0.0,0.0,0.0,0.0,0.0
2173736,0.0,0.0,0.0,0.0,0.0,0.0
2173836,0.0,0.0,0.0,0.0,0.0,0.0
2173936,0.0,0.0,0.0,0.0,0.0,0.0
2174036,0.0,0.0,0.0,0.0,0.0,0.0
2174136,0.0,0.0,0.0,0.0,0.0,0.0
2174236,0.0,0.0,0.0,0.0,0.0,0.0
2174336,0.0,0.0,0.0,0.0,0.0,0.0
2174436,0.0,0.0,0.0,0.0,0.0,0.0
2174536,0.0,0.0,0.0,0.0,0.0,0.0
2174636,0.0,0.0,0.0,0.0,0.0,0.0
2174736,0.0,0.0,0.0,0.0,0.0,0.0
2174836,0.0,0.0,0.0,0.0,0.0,0.0
2174936,0.0,0.0,0.0,0.0,0.0,0.0
2175036,0.0,0.0,0.0,0.0,0.0,0.0
2175136,0.0,0.0,0.0,0.0,0.0,0.0
