timestamp,range.front,range.back,range.up,range.left,range.right,range.zrange
314966,0,0,0,0,0,473
315067,0,0,0,0,0,473
315166,0,0,0,0,0,474
315266,0,0,0,0,0,472
315366,0,0,0,0,0,476
315466,0,0,0,0,0,467
315566,0,0,0,0,0,462
315666,0,0,0,0,0,460
315766,0,0,0,0,0,435
315866,0,0,0,0,0,409
315966,0,0,0,0,0,370
316066,0,0,0,0,0,317
316166,0,0,0,0,0,234
316266,0,0,0,0,0,199
316369,0,0,0,0,0,149
316466,0,0,0,0,0,11
316566,0,0,0,0,0,0
316666,0,0,0,0,0,12
316768,0,0,0,0,0,13
316868,0,0,0,0,0,14
316968,0,0,0,0,0,14
317068,0,0,0,0,0,13
317167,0,0,0,0,0,13
317267,0,0,0,0,0,14
317367,0,0,0,0,0,15
317468,0,0,0,0,0,16
317567,0,0,0,0,0,13
317667,0,0,0,0,0,13
317766,0,0,0,0,0,14
317867,0,0,0,0,0,14
317967,0,0,0,0,0,15
318066,0,0,0,0,0,14
318167,0,0,0,0,0,14
318266,0,0,0,0,0,15
318367,0,0,0,0,0,13
318466,0,0,0,0,0,16
318566,0,0,0,0,0,13
318667,0,0,0,0,0,15
318766,0,0,0,0,0,15
318866,0,0,0,0,0,14
318966,0,0,0,0,0,15
319066,0,0,0,0,0,15
319167,0,0,0,0,0,16
319266,0,0,0,0,0,14
319366,0,0,0,0,0,14
319466,0,0,0,0,0,15
319566,0,0,0,0,0,18
319666,0,0,0,0,0,16
319766,0,0,0,0,0,13
319866,0,0,0,0,0,15
319966,0,0,0,0,0,15
320066,0,0,0,0,0,15
320166,0,0,0,0,0,14
320266,0,0,0,0,0,13
320366,0,0,0,0,0,16
320466,0,0,0,0,0,16
320566,0,0,0,0,0,15
320666,0,0,0,0,0,16
320766,0,0,0,0,0,14
320866,0,0,0,0,0,14
320966,0,0,0,0,0,16
321066,0,0,0,0,0,15
321166,0,0,0,0,0,15
321266,0,0,0,0,0,13
321366,0,0,0,0,0,15
321466,0,0,0,0,0,18
321566,0,0,0,0,0,10
321666,0,0,0,0,0,0
321766,0,0,0,0,0,17
321866,0,0,0,0,0,70
321966,0,0,0,0,0,89
322066,0,0,0,0,0,94
322166,0,0,0,0,0,91
322266,0,0,0,0,0,83
322366,0,0,0,0,0,102
322466,0,0,0,0,0,131
322566,0,0,0,0,0,190
322666,0,0,0,0,0,240
322766,0,0,0,0,0,279
322866,0,0,0,0,0,316
322966,0,0,0,0,0,365
323066,0,0,0,0,0,383
323166,0,0,0,0,0,415
323266,0,0,0,0,0,476
323366,0,0,0,0,0,509
323466,0,0,0,0,0,527
323566,0,0,0,0,0,534
323666,0,0,0,0,0,527
323766,0,0,0,0,0,510
323866,0,0,0,0,0,497
323966,0,0,0,0,0,505
324066,0,0,0,0,0,533
324166,0,0,0,0,0,552
324266,0,0,0,0,0,544
324366,0,0,0,0,0,534
324466,0,0,0,0,0,510
324566,0,0,0,0,0,483
324666,0,0,0,0,0,478
324766,0,0,0,0,0,473
324868,0,0,0,0,0,481
324968,0,0,0,0,0,481
325068,0,0,0,0,0,483
325166,0,0,0,0,0,486
325266,0,0,0,0,0,488
325366,0,0,0,0,0,488
325466,0,0,0,0,0,489
325566,0,0,0,0,0,520
325667,0,0,0,0,0,541
325767,0,0,0,0,0,549
325867,0,0,0,0,0,556
325967,0,0,0,0,0,549
326066,0,0,0,0,0,538
326166,0,0,0,0,0,536
326266,0,0,0,0,0,525
326366,0,0,0,0,0,524
326466,0,0,0,0,0,514
326566,0,0,0,0,0,505
326666,0,0,0,0,0,503
326766,0,0,0,0,0,507
326866,0,0,0,0,0,517
326966,0,0,0,0,0,527
327066,0,0,0,0,0,532
327166,0,0,0,0,0,532
327266,0,0,0,0,0,526
327366,0,0,0,0,0,527
327466,0,0,0,0,0,526
327566,0,0,0,0,0,526
327666,0,0,0,0,0,530
327766,0,0,0,0,0,530
327866,0,0,0,0,0,529
327966,0,0,0,0,0,533
328066,0,0,0,0,0,535
328166,0,0,0,0,0,536
328266,0,0,0,0,0,540
328366,0,0,0,0,0,535
328466,0,0,0,0,0,524
328566,0,0,0,0,0,478
328666,0,0,0,0,0,438
328766,0,0,0,0,0,379
328866,0,0,0,0,0,282
328966,0,0,0,0,0,220
329066,0,0,0,0,0,149
329166,0,0,0,0,0,40
329266,0,0,0,0,0,49
329366,0,0,0,0,0,55
329466,0,0,0,0,0,8
329566,0,0,0,0,0,0
329666,0,0,0,0,0,2
329766,0,0,0,0,0,2
329866,0,0,0,0,0,1
