timestamp,health.motorVarXM4,health.motorVarYM4,health.motorPass,health.batterySag,health.batteryPass,health.motorTestCount
2158245,0.0,0.0,0,0.0,0,0
2158345,0.0,0.0,0,0.0,0,0
2158443,0.0,0.0,0,0.0,0,0
2158543,0.0,0.0,0,0.0,0,0
2158645,0.0,0.0,0,0.0,0,0
2158744,0.0,0.0,0,0.0,0,0
2158844,0.0,0.0,0,0.0,0,0
2158944,0.0,0.0,0,0.0,0,0
2159044,0.0,0.0,0,0.0,0,0
2159143,0.0,0.0,0,0.0,0,0
2159243,0.0,0.0,0,0.0,0,0
2159343,0.0,0.0,0,0.0,0,0
2159443,0.0,0.0,0,0.0,0,0
2159543,0.0,0.0,0,0.0,0,0
2159643,0.0,0.0,0,0.0,0,0
2159743,0.0,0.0,0,0.0,0,0
2159843,0.0,0.0,0,0.0,0,0
2159943,0.0,0.0,0,0.0,0,0
2160043,0.0,0.0,0,0.0,0,0
2160143,0.0,0.0,0,0.0,0,0
2160243,0.0,0.0,0,0.0,0,0
2160343,0.0,0.0,0,0.0,0,0
2160443,0.0,0.0,0,0.0,0,0
2160543,0.0,0.0,0,0.0,0,0
2160643,0.0,0.0,0,0.0,0,0
2160743,0.0,0.0,0,0.0,0,0
2160843,0.0,0.0,0,0.0,0,0
2160943,0.0,0.0,0,0.0,0,0
2161043,0.0,0.0,0,0.0,0,0
2161143,0.0,0.0,0,0.0,0,0
2161243,0.0,0.0,0,0.0,0,0
2161343,0.0,0.0,0,0.0,0,0
2161443,0.0,0.0,0,0.0,0,0
2161543,0.0,0.0,0,0.0,0,0
2161643,0.0,0.0,0,0.0,0,0
2161743,0.0,0.0,0,0.0,0,0
2161843,0.0,0.0,0,0.0,0,0
2161943,0.0,0.0,0,0.0,0,0
2162043,0.0,0.0,0,0.0,0,0
2162143,0.0,0.0,0,0.0,0,0
2162246,0.0,0.0,0,0.0,0,0
2162343,0.0,0.0,0,0.0,0,0
2162445,0.0,0.0,0,0.0,0,0
2162545,0.0,0.0,0,0.0,0,0
2162645,0.0,0.0,0,0.0,0,0
2162744,0.0,0.0,0,0.0,0,0
2162844,0.0,0.0,0,0.0,0,0
2162944,0.0,0.0,0,0.0,0,0
2163044,0.0,0.0,0,0.0,0,0
2163144,0.0,0.0,0,0.0,0,0
2163244,0.0,0.0,0,0.0,0,0
2163344,0.0,0.0,0,0.0,0,0
2163443,0.0,0.0,0,0.0,0,0
2163543,0.0,0.0,0,0.0,0,0
2163643,0.0,0.0,0,0.0,0,0
2163743,0.0,0.0,0,0.0,0,0
2163843,0.0,0.0,0,0.0,0,0
2163943,0.0,0.0,0,0.0,0,0
2164043,0.0,0.0,0,0.0,0,0
2164143,0.0,0.0,0,0.0,0,0
2164243,0.0,0.0,0,0.0,0,0
2164343,0.0,0.0,0,0.0,0,0
2164443,0.0,0.0,0,0.0,0,0
2164545,0.0,0.0,0,0.0,0,0
2164645,0.0,0.0,0,0.0,0,0
2164743,0.0,0.0,0,0.0,0,0
2164843,0.0,0.0,0,0.0,0,0
2164944,0.0,0.0,0,0.0,0,0
2165044,0.0,0.0,0,0.0,0,0
2165144,0.0,0.0,0,0.0,0,0
2165244,0.0,0.0,0,0.0,0,0
2165344,0.0,0.0,0,0.0,0,0
2165443,0.0,0.0,0,0.0,0,0
2165543,0.0,0.0,0,0.0,0,0
2165643,0.0,0.0,0,0.0,0,0
2165743,0.0,0.0,0,0.0,0,0
2165843,0.0,0.0,0,0.0,0,0
2165943,0.0,0.0,0,0.0,0,0
2166043,0.0,0.0,0,0.0,0,0
2166143,0.0,0.0,0,0.0,0,0
2166243,0.0,0.0,0,0.0,0,0
