timestamp,mag.x,mag.y,mag.z
145981,0.0,0.0,0.0
146081,0.0,0.0,0.0
146181,0.0,0.0,0.0
146281,0.0,0.0,0.0
146381,0.0,0.0,0.0
146481,0.0,0.0,0.0
146581,0.0,0.0,0.0
146681,0.0,0.0,0.0
146781,0.0,0.0,0.0
146881,0.0,0.0,0.0
146981,0.0,0.0,0.0
147081,0.0,0.0,0.0
147181,0.0,0.0,0.0
147281,0.0,0.0,0.0
147381,0.0,0.0,0.0
147481,0.0,0.0,0.0
147581,0.0,0.0,0.0
147681,0.0,0.0,0.0
147781,0.0,0.0,0.0
147881,0.0,0.0,0.0
147981,0.0,0.0,0.0
148081,0.0,0.0,0.0
148181,0.0,0.0,0.0
148281,0.0,0.0,0.0
148381,0.0,0.0,0.0
148481,0.0,0.0,0.0
148581,0.0,0.0,0.0
148681,0.0,0.0,0.0
148781,0.0,0.0,0.0
148881,0.0,0.0,0.0
148981,0.0,0.0,0.0
149081,0.0,0.0,0.0
149181,0.0,0.0,0.0
149282,0.0,0.0,0.0
149381,0.0,0.0,0.0
149482,0.0,0.0,0.0
149581,0.0,0.0,0.0
149681,0.0,0.0,0.0
149781,0.0,0.0,0.0
149881,0.0,0.0,0.0
149981,0.0,0.0,0.0
150081,0.0,0.0,0.0
150181,0.0,0.0,0.0
150281,0.0,0.0,0.0
150381,0.0,0.0,0.0
150481,0.0,0.0,0.0
150581,0.0,0.0,0.0
150681,0.0,0.0,0.0
150781,0.0,0.0,0.0
150881,0.0,0.0,0.0
150982,0.0,0.0,0.0
151081,0.0,0.0,0.0
151181,0.0,0.0,0.0
151281,0.0,0.0,0.0
151381,0.0,0.0,0.0
151481,0.0,0.0,0.0
151581,0.0,0.0,0.0
151681,0.0,0.0,0.0
151781,0.0,0.0,0.0
151881,0.0,0.0,0.0
151981,0.0,0.0,0.0
152081,0.0,0.0,0.0
152181,0.0,0.0,0.0
152281,0.0,0.0,0.0
152381,0.0,0.0,0.0
152481,0.0,0.0,0.0
152581,0.0,0.0,0.0
152681,0.0,0.0,0.0
152782,0.0,0.0,0.0
152881,0.0,0.0,0.0
152981,0.0,0.0,0.0
153082,0.0,0.0,0.0
